period,days,growthModel,idsPerDay,scenario,projectedIds,filesPerIdPerYear,satsPerFile,annualFileWrites,annualFlowSats,annualFlowBtc,annualFlowUsd,networkValueMultiple,networkValueSats,networkValueBtc,networkValueUsd
now,0,recent_pace,13,archive,94,1,1000,94,94000,0.00094,76.0380194,5,470000,0.0047,380.190097
now,0,recent_pace,13,drive_light,94,6,1000,564,564000,0.00564,456.2281164,5,2820000,0.0282,2281.140582
now,0,recent_pace,13,agent_workspace,94,24,2000,2256,4512000,0.04512,3649.8249312,5,22560000,0.2256,18249.124656
6_months,183,recent_pace,13,archive,2473,1,1000,2473,2473000,0.02473,2000.4470422999998,5,12365000,0.12365,10002.2352115
6_months,183,recent_pace,13,drive_light,2473,6,1000,14838,14838000,0.14838,12002.6822538,5,74190000,0.7419,60013.411269
6_months,183,recent_pace,13,agent_workspace,2473,24,2000,59352,118704000,1.18704,96021.4580304,5,593520000,5.9352,480107.290152
12_months,365,recent_pace,13,archive,4839,1,1000,4839,4839000,0.04839,3914.3401688999998,5,24195000,0.24195,19571.7008445
12_months,365,recent_pace,13,drive_light,4839,6,1000,29034,29034000,0.29034,23486.041013399998,5,145170000,1.4517,117430.20506699999
12_months,365,recent_pace,13,agent_workspace,4839,24,2000,116136,232272000,2.32272,187888.32810719998,5,1161360000,11.6136,939441.6405359999
18_months,548,recent_pace,13,archive,7218,1,1000,7218,7218000,0.07218,5838.749191799999,5,36090000,0.3609,29193.745958999996
18_months,548,recent_pace,13,drive_light,7218,6,1000,43308,43308000,0.43308,35032.4951508,5,216540000,2.1654,175162.47575399998
18_months,548,recent_pace,13,agent_workspace,7218,24,2000,173232,346464000,3.46464,280259.9612064,5,1732320000,17.3232,1401299.8060319999
24_months,730,recent_pace,13,archive,9584,1,1000,9584,9584000,0.09584,7752.642318399999,5,47920000,0.4792,38763.211592
24_months,730,recent_pace,13,drive_light,9584,6,1000,57504,57504000,0.57504,46515.853910399994,5,287520000,2.8752,232579.26955199998
24_months,730,recent_pace,13,agent_workspace,9584,24,2000,230016,460032000,4.60032,372126.83128319995,5,2300160000,23.0016,1860634.1564159999
now,0,launch_average,25.1,archive,94,1,1000,94,94000,0.00094,76.0380194,5,470000,0.0047,380.190097
now,0,launch_average,25.1,drive_light,94,6,1000,564,564000,0.00564,456.2281164,5,2820000,0.0282,2281.140582
now,0,launch_average,25.1,agent_workspace,94,24,2000,2256,4512000,0.04512,3649.8249312,5,22560000,0.2256,18249.124656
6_months,183,launch_average,25.1,archive,4687,1,1000,4687,4687000,0.04687,3791.3850737,5,23435000,0.23435,18956.9253685
6_months,183,launch_average,25.1,drive_light,4687,6,1000,28122,28122000,0.28122,22748.3104422,5,140610000,1.4061,113741.55221099999
6_months,183,launch_average,25.1,agent_workspace,4687,24,2000,112488,224976000,2.24976,181986.4835376,5,1124880000,11.2488,909932.4176879999
12_months,365,launch_average,25.1,archive,9256,1,1000,9256,9256000,0.09256,7487.3181656,5,46280000,0.4628,37436.590828
12_months,365,launch_average,25.1,drive_light,9256,6,1000,55536,55536000,0.55536,44923.908993599995,5,277680000,2.7768,224619.544968
12_months,365,launch_average,25.1,agent_workspace,9256,24,2000,222144,444288000,4.44288,359391.27194879996,5,2221440000,22.2144,1796956.359744
18_months,548,launch_average,25.1,archive,13849,1,1000,13849,13849000,0.13849,11202.6652199,5,69245000,0.69245,56013.326099499995
18_months,548,launch_average,25.1,drive_light,13849,6,1000,83094,83094000,0.83094,67215.9913194,5,415470000,4.1547,336079.956597
18_months,548,launch_average,25.1,agent_workspace,13849,24,2000,332376,664752000,6.64752,537727.9305552,5,3323760000,33.2376,2688639.652776
24_months,730,launch_average,25.1,archive,18417,1,1000,18417,18417000,0.18417,14897.789396699998,5,92085000,0.92085,74488.94698349999
24_months,730,launch_average,25.1,drive_light,18417,6,1000,110502,110502000,1.10502,89386.73638019999,5,552510000,5.5251,446933.681901
24_months,730,launch_average,25.1,agent_workspace,18417,24,2000,442008,884016000,8.84016,715093.8910415999,5,4420080000,44.2008,3575469.455208
